chr,start,end,name,chrTSS,startTSS,endTSS,TargetGene,ReferenceID,CellType,EffectSize,pValueAdjusted,Significant,PowerAtEffectSize25,PowerAtEffectSize10,PowerAtEffectSize15,PowerAtEffectSize20,PowerAtEffectSize50,distanceToTSS,numTSSEnhGene,numCandidateEnhGene,normalizedDNase_enh,normalizedDNase_prom,numNearbyEnhancers,sumNearbyEnhancers,ubiquitousExpressedGene,3DContact,3DContact_squared,normalizedDNase_enh_squared,ABC.Score
chr8,60284882,60285382,CA8|chr8:61197441-61197941:.,chr8,60281411.0,60281412.0,CA8,2f957f7a,K562,-0.140257625,1.53e-06,True,0.65,0.2,0.25,0.35,1.0,3767.5,1,1,9.255186,0.691692,46,215.634522,0,11482.33236,131843956.3,85.65846789,0.229877
chr9,99075179,99075797,TGFBR1|chr9:101837461-101838079:.,chr9,99104038.0,99104039.0,TGFBR1,2f957f7a,K562,-0.046137724,0.00486984,True,0.35,0.05,0.1,0.15,0.9,29655.5,1,5,18.483246,0.798897,98,1196.610723,0,1833.345234,3361154.747,341.6303827,0.04443
chr7,134639833,134640333,BPGM|chr7:134324585-134325085:.,chr7,134646808.0,134646809.0,BPGM,2f957f7a,K562,-0.082179652,0.007175164,True,0.7,0.25,0.5,0.6,1.0,6687.0,1,1,6.521952,0.992838,48,65.289744,0,10744.95036,115453958.3,42.53585789,0.053048
chr10,5472235,5472735,NET1|chr10:5514198-5514698:.,chr10,5412551.0,5412552.0,NET1,2f957f7a,K562,-0.100327193,0.04027701,True,0.85,0.35,0.6,0.8,1.0,25935.0,1,6,2.925616,0.755541,33,94.653009,0,1419.128316,2013925.177,8.559228979,0.004903
chr4,55723369,55723869,NMU|chr4:56589536-56590036:.,chr4,55636697.0,55636698.0,NMU,2f957f7a,K562,-0.163491723,1.07e-05,True,1.0,0.4,0.55,0.85,1.0,87281.0,1,12,0.979523,0.598229,29,21.614425,0,793.318224,629353.8045,0.959465308,0.001483
chr11,95147369,95147869,ENDOD1|chr11:94880533-94881033:.,chr11,95089810.0,95089811.0,ENDOD1,2f957f7a,K562,-0.041019305,0.00502547,True,0.65,0.1,0.15,0.45,1.0,57826.0,1,10,15.59714,0.60602,90,413.03832,0,2028.259282,4113835.715,243.2707762,0.057819
chr19,43774607,43774646,KCNN4|chr19:44278759-44278798:*,chr19,43781260.0,43781261.0,KCNN4,651e9a49,K562,-0.72,,True,1.0,,,,,6604.0,1,4,23.467936,0.541348,678,3909.885202,0,3711.240819,13773308.42,550.7440201,0.061605
chr3,128426282,128426962,RPN1|chr3:128145125-128145805:*,chr3,128681074.0,128681075.0,RPN1,39b33148,K562,-0.06600576,0.02723518,True,1.0,,,,,224169.5,7,39,3.959088,0.604592,114,251.157903,1,531.286349,282265.1846,15.67437779,0.003852
chr1,213045154,213046736,RPS6KC1|chr1:213218496-213220078:.,chr1,213051233.0,213051234.0,RPS6KC1,2f957f7a,K562,-0.044729331,0.002144033,True,0.45,0.1,0.2,0.4,1.0,5501.0,1,1,5.794764,0.808333,78,639.301455,0,10267.93504,105430490.0,33.57928982,0.065318
chrX,48800621,48800667,GATA1|chrX:48659028-48659074:*,chrX,48786554.0,48786555.0,GATA1,0c4fc18d,K562,-0.33,,True,1.0,,,,,14168.0,1,5,59.798888,0.732846,80,8678.3856,0,1142.627198,1305596.914,3575.907006,0.05132
